attack,snr,defense,accuracy,n_samples
fgsm,16,kalman,0.5704545454545454,2200
fgsm,16,wiener,0.5572727272727273,2200
fgsm,16,savitzky_golay,0.5572727272727273,2200
fgsm,16,gaussian,0.5627272727272727,2200
fgsm,16,fir,0.5836363636363636,2200
fgsm,16,rand_smooth,0.3159090909090909,2200
fgsm,18,no_defense,0.5822727272727273,2200
fgsm,18,adaptive_k_v2_snr,0.5945454545454546,2200
fgsm,18,adaptive_k,0.5945454545454546,2200
fgsm,18,spectral_gated,0.5845454545454546,2200
fgsm,18,kalman,0.5740909090909091,2200
fgsm,18,wiener,0.5609090909090909,2200
fgsm,18,savitzky_golay,0.565,2200
fgsm,18,gaussian,0.5772727272727273,2200
fgsm,18,fir,0.5790909090909091,2200
fgsm,18,rand_smooth,0.3018181818181818,2200
pgd,0,no_defense,0.12954545454545455,2200
pgd,0,adaptive_k_v2_snr,0.21636363636363637,2200
pgd,0,adaptive_k,0.1509090909090909,2200
pgd,0,spectral_gated,0.18272727272727274,2200
pgd,0,kalman,0.15454545454545454,2200
pgd,0,wiener,0.15272727272727274,2200
pgd,0,savitzky_golay,0.14727272727272728,2200
pgd,0,gaussian,0.14181818181818182,2200
pgd,0,fir,0.22454545454545455,2200
pgd,0,rand_smooth,0.2918181818181818,2200
pgd,2,no_defense,0.2177272727272727,2200
pgd,2,adaptive_k_v2_snr,0.30454545454545456,2200
pgd,2,adaptive_k,0.2731818181818182,2200
pgd,2,spectral_gated,0.26045454545454544,2200
pgd,2,kalman,0.26045454545454544,2200
pgd,2,wiener,0.22772727272727272,2200
pgd,2,savitzky_golay,0.24227272727272728,2200
pgd,2,gaussian,0.22590909090909092,2200
pgd,2,fir,0.23318181818181818,2200
pgd,2,rand_smooth,0.31136363636363634,2200
pgd,4,no_defense,0.2859090909090909,2200
pgd,4,adaptive_k_v2_snr,0.40545454545454546,2200
pgd,4,adaptive_k,0.38181818181818183,2200
pgd,4,spectral_gated,0.315,2200
pgd,4,kalman,0.32,2200
pgd,4,wiener,0.2909090909090909,2200
pgd,4,savitzky_golay,0.3231818181818182,2200
pgd,4,gaussian,0.29545454545454547,2200
pgd,4,fir,0.3090909090909091,2200
pgd,4,rand_smooth,0.2922727272727273,2200
pgd,6,no_defense,0.3231818181818182,2200
pgd,6,adaptive_k_v2_snr,0.4531818181818182,2200
pgd,6,adaptive_k,0.44363636363636366,2200
pgd,6,spectral_gated,0.3472727272727273,2200
pgd,6,kalman,0.3790909090909091,2200
pgd,6,wiener,0.3577272727272727,2200
pgd,6,savitzky_golay,0.38181818181818183,2200
pgd,6,gaussian,0.36272727272727273,2200
pgd,6,fir,0.38227272727272726,2200
pgd,6,rand_smooth,0.3068181818181818,2200
pgd,8,no_defense,0.335,2200
pgd,8,adaptive_k_v2_snr,0.4740909090909091,2200
pgd,8,adaptive_k,0.4631818181818182,2200
pgd,8,spectral_gated,0.3527272727272727,2200
pgd,8,kalman,0.41045454545454546,2200
pgd,8,wiener,0.365,2200
pgd,8,savitzky_golay,0.4027272727272727,2200
pgd,8,gaussian,0.3663636363636364,2200
pgd,8,fir,0.38045454545454543,2200
